,date_jour,code_site,trafic_voix,trafic_data,techno
465,20230223,OCI0165,698.789999999999,113.12,3G
466,20230223,OCI0165,,249.361716,4G
467,20230223,OCI0166,434.47,0.28678136,2G
468,20230223,OCI0166,1285.39,179.03,3G
469,20230223,OCI0166,,305.150224,4G
470,20230223,OCI0167,856.28,0.228537,2G
471,20230223,OCI0167,247.01,50.93,3G
472,20230223,OCI0167,,83.686817,4G
473,20230223,OCI0168,590.52,0.94626122,2G
474,20230223,OCI0168,1568.21,169.57,3G
475,20230223,OCI0168,,1045.813706,4G
476,20230223,OCI0169,701.55,0.60070723,2G
477,20230223,OCI0169,1699.7,190.23,3G
478,20230223,OCI0169,,895.951556,4G
479,20230223,OCI0172,399.91,0.28637184,2G
480,20230223,OCI0172,559.77,51.97,3G
481,20230223,OCI0172,,548.533415,4G
482,20230223,OCI0173,632.89,1.42734273,2G
483,20230223,OCI0173,2044.22,352.11,3G
484,20230223,OCI0173,,1629.361992,4G
485,20230223,OCI0174,489.9,0.30111782,2G
486,20230223,OCI0174,197.97,34.07,3G
487,20230223,OCI0174,,71.283498,4G
488,20230223,OCI0175,728.81,0.70038961,2G
489,20230223,OCI0175,288.95,71.8,3G
490,20230223,OCI0175,,50.156143,4G
491,20230223,OCI0176,435.52,0.44087715,2G
492,20230223,OCI0176,536.35,116.62,3G
493,20230223,OCI0176,,319.758814,4G
494,20230223,OCI0177,287.06,0.38046177,2G
495,20230223,OCI0177,224.65,31.14,3G
496,20230223,OCI0177,,73.871643,4G
497,20230223,OCI0178,158.01,0.26546383,2G
498,20230223,OCI0178,128.05,44.42,3G
499,20230223,OCI0179,778.68,0.58837383,2G
500,20230223,OCI0179,426.95,70.15,3G
501,20230223,OCI0179,,186.088167,4G
502,20230223,OCI0180,960.55,2.63100531,2G
503,20230223,OCI0180,688.52,126.1,3G
504,20230223,OCI0180,,1162.178279,4G
505,20230223,OCI0181,1258.1,0.32977838,2G
506,20230223,OCI0181,603.77,114.69,3G
507,20230223,OCI0181,,197.485158,4G
508,20230223,OCI0182,595.85,1.15256875,2G
509,20230223,OCI0182,1365.79,203.46,3G
510,20230223,OCI0182,,1148.703023,4G
511,20230223,OCI0183,229.64,0.46618273,2G
512,20230223,OCI0183,959.179999999999,89.33,3G
513,20230223,OCI0183,,615.938333999999,4G
514,20230223,OCI0184,88.78,0.09807686,2G
515,20230223,OCI0184,599.59,40.34,3G
516,20230223,OCI0184,,257.877524,4G
517,20230223,OCI0185,1154.46,0.47363227,2G
518,20230223,OCI0185,483.96,87.08,3G
519,20230223,OCI0185,,176.863443,4G
520,20230223,OCI0186,1529.32,0.66046304,2G
521,20230223,OCI0186,1417.1,188.16,3G
522,20230223,OCI0186,,442.697974,4G
523,20230223,OCI0187,184.12,0.12925618,2G
524,20230223,OCI0187,422.84,26.61,3G
525,20230223,OCI0187,,98.521122,4G
526,20230223,OCI0188,295.76,0.36172057,2G
527,20230223,OCI0188,993.79,141.03,3G
